time, Quad.Est.E.Yaw
3.749911,-0.025908
3.754910,-0.026038
3.759910,-0.026144
3.764910,-0.028826
3.769909,-0.024334
3.774909,-0.024187
3.779908,-0.026786
3.784908,-0.024748
3.789908,-0.022035
3.794907,-0.020631
3.799907,-0.003143
3.804907,-0.002145
3.809906,0.002855
3.814906,0.003573
3.819906,0.015236
3.824905,0.014396
3.829905,0.021104
3.834904,0.022354
3.839904,0.009546
3.844904,0.008103
3.849903,0.005103
3.854903,0.003732
3.859903,0.014654
3.864902,0.013784
3.869902,0.003585
3.874902,0.001396
3.879901,-0.008793
3.884901,-0.006036
3.889900,-0.007872
3.894900,-0.005413
3.899900,0.004888
3.904899,0.007221
3.909899,0.009036
3.914899,0.008231
3.919898,0.000814
3.924898,0.002662
3.929898,0.004466
3.934897,0.001528
3.939897,-0.000201
3.944896,-0.001311
3.949896,-0.010367
3.954896,-0.009804
3.959895,-0.001779
3.964895,-0.002497
3.969895,-0.014745
3.974894,-0.013023
3.979894,-0.023289
3.984894,-0.024397
3.989893,-0.029819
3.994893,-0.028870
3.999892,-0.030660
4.004892,-0.031867
4.009892,-0.039588
4.014892,-0.039000
4.019891,-0.033345
4.024891,-0.033472
4.029891,-0.023790
4.034890,-0.025838
4.039890,-0.040940
4.044889,-0.045094
4.049889,-0.047379
4.054889,-0.049702
4.059888,-0.048456
4.064888,-0.051490
4.069888,-0.051695
4.074887,-0.056479
4.079887,-0.036695
4.084887,-0.041146
4.089886,-0.036148
4.094886,-0.038536
4.099885,-0.037643
4.104885,-0.039145
4.109885,-0.039275
4.114884,-0.041563
4.119884,-0.029504
4.124884,-0.032061
4.129883,-0.028121
4.134883,-0.027926
4.139883,-0.033118
4.144882,-0.034529
4.149882,-0.028354
4.154881,-0.030730
4.159881,-0.030140
4.164881,-0.034159
4.169880,-0.036155
4.174880,-0.039642
4.179880,-0.036249
4.184879,-0.039191
4.189879,-0.041583
4.194879,-0.042249
4.199878,-0.043632
4.204878,-0.044401
4.209877,-0.039634
4.214877,-0.040362
4.219877,-0.036448
4.224876,-0.036488
4.229876,-0.033374
4.234876,-0.036006
4.239875,-0.031507
4.244875,-0.034226
4.249875,-0.022923
4.254874,-0.024326
4.259874,-0.009335
4.264874,-0.009720
4.269873,-0.016744
4.274873,-0.019755
4.279872,-0.030948
4.284872,-0.032269
4.289872,-0.019462
4.294871,-0.020889
4.299871,-0.005595
4.304871,-0.006851
4.309870,-0.000296
4.314870,0.002563
4.319870,-0.005075
4.324869,-0.005479
4.329869,-0.001198
4.334868,0.002375
4.339868,0.011277
4.344868,0.016771
4.349867,0.029065
4.354867,0.027906
4.359867,0.018075
4.364866,0.020803
4.369866,0.022428
4.374866,0.024442
4.379865,0.022206
4.384865,0.026521
4.389864,0.023920
4.394864,0.027055
4.399864,0.025142
4.404863,0.025638
4.409863,0.027700
4.414863,0.028172
4.419862,0.031119
4.424862,0.033367
4.429862,0.048443
4.434861,0.051089
4.439861,0.046110
4.444860,0.049155
4.449860,0.051338
4.454860,0.054326
4.459859,0.060049
4.464859,0.063089
4.469859,0.073455
4.474858,0.079298
4.479858,0.069510
4.484858,0.073299
4.489857,0.072466
4.494857,0.072307
4.499856,0.055281
4.504856,0.053250
4.509856,0.055738
4.514855,0.057088
4.519855,0.051498
4.524855,0.052572
4.529854,0.061048
4.534854,0.063004
4.539854,0.055497
4.544853,0.054381
4.549853,0.062906
4.554852,0.061990
4.559852,0.058987
4.564852,0.058573
4.569851,0.061173
4.574851,0.059944
4.579851,0.047524
4.584850,0.051191
4.589850,0.047041
4.594850,0.046826
4.599849,0.040750
4.604849,0.042513
4.609848,0.040809
4.614848,0.043807
4.619848,0.029026
4.624847,0.028221
4.629847,0.032013
4.634847,0.031592
4.639846,0.037352
4.644846,0.039108
4.649846,0.030647
4.654845,0.028953
4.659845,0.024731
4.664845,0.026486
4.669844,0.017890
4.674844,0.018202
4.679843,0.013199
4.684843,0.014508
4.689843,0.022557
4.694842,0.024390
4.699842,0.015810
4.704842,0.016699
4.709841,0.009619
4.714841,0.010069
4.719841,0.009030
4.724840,0.010330
4.729840,-0.000568
4.734839,-0.001542
4.739839,-0.012688
4.744839,-0.017372
4.749838,-0.032838
4.754838,-0.029788
4.759838,-0.020337
4.764837,-0.021855
4.769837,-0.020548
4.774837,-0.016944
4.779836,-0.013189
4.784836,-0.013941
4.789835,-0.028526
4.794835,-0.029313
4.799835,-0.031334
4.804834,-0.032616
4.809834,-0.022641
4.814834,-0.022843
4.819833,-0.023947
4.824833,-0.026669
4.829833,-0.008718
4.834832,-0.008348
4.839832,0.000245
4.844831,0.001488
4.849831,0.005768
4.854831,0.005460
4.859830,0.010965
4.864830,0.010583
4.869830,0.018044
4.874829,0.019399
4.879829,0.018829
4.884829,0.022732
4.889828,0.020129
4.894828,0.020490
4.899827,0.001296
4.904827,0.000325
4.909827,-0.007859
4.914826,-0.007009
4.919826,-0.011528
4.924826,-0.011709
4.929825,-0.011803
4.934825,-0.010845
4.939825,-0.008347
4.944824,-0.006580
4.949824,-0.002056
4.954823,0.000797
4.959823,0.004911
4.964823,0.005288
4.969822,0.009163
4.974822,0.009794
4.979822,0.018321
4.984821,0.017898
4.989821,0.030174
4.994821,0.031967
4.999820,0.031076
5.004820,0.032182
5.009820,0.026996
5.014819,0.031026
5.019819,0.025747
5.024818,0.026787
5.029818,0.022866
5.034818,0.025249
5.039817,0.024648
5.044817,0.027057
5.049817,0.026522
5.054816,0.029986
5.059816,0.026963
