time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.090031,-0.335636,-0.058840,0.005408
2.095031,nan,-0.059984,0.005479
2.100030,0.166586,-0.041587,0.005554
2.105030,nan,-0.042384,0.005634
2.110029,-0.056835,-0.043075,0.005719
2.115029,nan,-0.041265,0.005811
2.120029,0.172666,-0.023541,0.005908
2.125028,nan,-0.022199,0.006007
2.130028,-0.127678,-0.029126,0.006105
2.135028,nan,-0.026967,0.006202
2.140027,-0.092308,-0.033961,0.006297
2.145027,nan,-0.031768,0.006386
2.150027,0.023997,-0.027439,0.006465
2.155026,nan,-0.024510,0.006535
2.160026,-0.084129,-0.028589,0.006595
2.165025,nan,-0.031390,0.006643
2.170025,0.106463,-0.023070,0.006678
2.175025,nan,-0.026891,0.006695
2.180024,-0.034176,-0.029948,0.006696
2.185024,nan,-0.029488,0.006683
2.190024,0.000538,-0.026822,0.006663
2.195023,nan,-0.028935,0.006636
2.200023,-0.009044,-0.024489,0.006605
2.205023,nan,-0.024200,0.006579
2.210022,0.002422,-0.022041,0.006549
2.215022,nan,-0.020980,0.006516
2.220021,-0.002198,-0.021086,0.006478
2.225021,nan,-0.024245,0.006434
2.230021,0.178259,-0.009958,0.006382
2.235020,nan,-0.012393,0.006323
2.240020,-0.105958,-0.020846,0.006257
2.245020,nan,-0.021244,0.006186
2.250019,0.058762,-0.014745,0.006111
2.255019,nan,-0.014800,0.006037
2.260019,-0.139805,-0.026163,0.005962
2.265018,nan,-0.023575,0.005889
2.270018,0.035305,-0.021394,0.005818
2.275017,nan,-0.020049,0.005745
2.280017,0.091668,-0.010181,0.005662
2.285017,nan,-0.012576,0.005565
2.290016,-0.104982,-0.017196,0.005461
2.295016,nan,-0.018080,0.005348
2.300016,0.093481,-0.009452,0.005225
2.305015,nan,-0.008650,0.005093
2.310015,-0.085613,-0.014822,0.004947
2.315015,nan,-0.012734,0.004795
2.320014,0.128120,-0.001323,0.004644
2.325014,nan,0.002164,0.004495
2.330014,0.077964,0.011072,0.004347
2.335013,nan,0.012243,0.004197
2.340013,0.012742,0.012925,0.004044
2.345012,nan,0.014882,0.003893
2.350012,-0.102954,0.004149,0.003743
2.355012,nan,0.001881,0.003599
2.360011,0.003693,0.003733,0.003464
2.365011,nan,0.001018,0.003341
2.370011,0.035947,0.004139,0.003227
2.375010,nan,0.003286,0.003120
2.380010,0.128967,0.012907,0.003017
2.385010,nan,0.012181,0.002921
2.390009,-0.240410,-0.003271,0.002835
2.395009,nan,-0.003386,0.002760
2.400008,0.112589,0.007022,0.002695
2.405008,nan,0.005076,0.002640
2.410008,-0.034166,0.002415,0.002592
2.415007,nan,0.002313,0.002545
2.420007,-0.155867,-0.007292,0.002501
2.425007,nan,-0.009269,0.002459
2.430006,-0.039171,-0.010806,0.002416
2.435006,nan,-0.010611,0.002368
2.440006,-0.189537,-0.022962,0.002316
2.445005,nan,-0.026672,0.002261
2.450005,-0.061704,-0.031487,0.002208
2.455004,nan,-0.030864,0.002156
2.460004,0.171611,-0.015178,0.002105
2.465004,nan,-0.013222,0.002053
2.470003,-0.010607,-0.015281,0.001999
2.475003,nan,-0.015779,0.001942
2.480003,0.075315,-0.008654,0.001884
2.485002,nan,-0.008062,0.001828
2.490002,-0.157349,-0.020631,0.001773
2.495002,nan,-0.021958,0.001716
2.500001,0.097233,-0.014525,0.001653
2.505001,nan,-0.013955,0.001582
2.510000,0.058408,-0.007578,0.001506
2.515000,nan,-0.006749,0.001433
2.520000,0.044910,-0.003881,0.001365
2.524999,nan,-0.004618,0.001303
2.529999,-0.050663,-0.007484,0.001243
2.534999,nan,-0.007389,0.001186
2.539998,0.036560,-0.003402,0.001132
2.544998,nan,-0.003745,0.001078
2.549998,0.175295,0.009249,0.001023
2.554997,nan,0.008141,0.000971
2.559997,0.010453,0.009719,0.000919
2.564996,nan,0.011614,0.000869
2.569996,0.020460,0.011876,0.000823
2.574996,nan,0.010106,0.000779
2.579995,-0.139914,-0.000696,0.000740
2.584995,nan,-0.001256,0.000702
2.589995,-0.042971,-0.005130,0.000662
2.594994,nan,-0.007650,0.000623
2.599994,0.132950,0.004072,0.000584
2.604994,nan,0.005112,0.000541
2.609993,-0.065672,0.002680,0.000491
2.614993,nan,0.002395,0.000435
2.619992,0.106190,0.010753,0.000374
2.624992,nan,0.008610,0.000307
2.629992,0.134560,0.018783,0.000230
2.634991,nan,0.015046,0.000147
2.639991,0.217731,0.030344,0.000057
2.644991,nan,0.031958,-0.000036
2.649990,-0.016026,0.026172,-0.000129
2.654990,nan,0.027564,-0.000220
2.659990,0.110448,0.034516,-0.000309
2.664989,nan,0.033108,-0.000398
2.669989,0.118309,0.037335,-0.000486
2.674989,nan,0.036149,-0.000575
2.679988,-0.114901,0.024328,-0.000661
2.684988,nan,0.022593,-0.000739
2.689987,0.044472,0.021827,-0.000810
2.694987,nan,0.020973,-0.000878
2.699987,0.021876,0.022362,-0.000944
2.704986,nan,0.020325,-0.001006
2.709986,-0.092652,0.012525,-0.001068
2.714986,nan,0.012389,-0.001129
2.719985,0.098544,0.019519,-0.001189
2.724985,nan,0.021793,-0.001249
